"No","Kode Saham","Nama Perusahaan","Remarks","Sebelumnya","Open Price","Tanggal Perdagangan Terakhir","First Trade","Tertinggi","Terendah","Penutupan","Selisih","Volume","Nilai","Frekuensi","Index Individual","Offer","Offer Volume","Bid","Bid Volume","Listed Shares","Tradeble Shares","Weight For Index","Foreign Sell","Foreign Buy","Non Regular Volume","Non Regular Value","Non Regular Frequency"
"896","VOKS","Voksel Electric Tbk.","--U-1130000000C131------------","175","0","26 Apr 2024","0","185","178","178","3","3500","643900","12","78.7","184","4600","178","5100","4155602595","4155602595","423040344","200","0","0","0","0"
"897","VRNA","Mizuho Leasing Indonesia Tbk.","--U-2100000000G211------------","94","0","26 Apr 2024","0","97","89","93","-1","127400","12122900","13","93.8","92","5000","90","2000","5687353997","5687353997","426551550","0","0","0","0","0"
"898","VTNY","Venteny Fortuna International Tbk.","--U-2105000000G211------------","184","0","26 Apr 2024","0","183","173","179","-5","32492900","5836329000","1035","49.7","179","172200","176","547100","6265193445","4875160740","1305666314","2404600","410500","0","0","0"
"899","WAPO","Wahana Pronatural Tbk.","--U-2130000000D232------------","113","0","26 Apr 2024","0","117","104","112","-1","165400","19174300","51","64","113","7400","111","11200","1240923111","1240923111","280820900","0","0","0","0","0"
"900","WEGE","Wijaya Karya Bangunan Gedung Tbk.","--U-1130050000J211------------","75","0","26 Apr 2024","0","76","73","74","-1","8556900","627633800","232","25.5","74","583900","73","577000","9572000000","9572000000","2871600000","606100","13200","0","0","0"
"901","WEHA","WEHA Transportasi Indonesia Tbk.","--S-1130000000K132------------","111","0","26 Apr 2024","0","113","109","113","2","3156200","353294400","162","52.5","114","302900","113","616600","1460554819","1460554819","432032115","144000","2000000","0","0","0"
"902","WGSH","Wira Global Solusi Tbk.","--U-3000000000I131------------","56","0","26 Apr 2024","0","58","53","56","0","81700","4573400","44","40","56","80600","55","336500","1042500000","1042500000","0","0","0","0","0","0"
"903","WICO","Wicaksana Overseas International Tbk.","--U-4100000000D112-----------X","120","0","26 Apr 2024","0","0","0","120","0","0","0","0","10","0","0","112","8000","2393710348","2393710348","107238224","0","0","0","0","0"
"904","WIDI","Widiant Jaya Krenindo Tbk.","--U-3000000000C141------------","13","0","26 Apr 2024","0","13","12","13","0","2157900","27368500","65","13","13","4281100","12","3604300","1600014497","675614497","0","0","0","0","0","0"
"905","WIFI","Solusi Sinergi Digital Tbk.","--S-1K30F10000I111------------","151","0","26 Apr 2024","0","151","141","144","-7","48647300","7057916000","4985","27.2","144","464800","143","3012100","2359355118","2359355118","1177082268","12217000","739600","0","0","0"
