"No","Kode Saham","Nama Perusahaan","Remarks","Sebelumnya","Open Price","Tanggal Perdagangan Terakhir","First Trade","Tertinggi","Terendah","Penutupan","Selisih","Volume","Nilai","Frekuensi","Index Individual","Offer","Offer Volume","Bid","Bid Volume","Listed Shares","Tradeble Shares","Weight For Index","Foreign Sell","Foreign Buy","Non Regular Volume","Non Regular Value","Non Regular Frequency"
"1","AALI","Astra Agro Lestari Tbk.","--S-11AE106000D232------------","6575","0","26 Apr 2024","0","6575","6375","6475","-100","1016800","6576927500","820","526","6475","2900","6450","300","1924688333","1924688333","390711732","18200","7600","0","0","0"
"2","ABBA","Mahaka Media Tbk.","--U-4100000000E614-E---------X","29","0","26 Apr 2024","0","30","29","29","0","3291800","95566700","42","64.1","30","456600","29","3347800","3935892857","3935892857","1342139464","0","0","0","0","0"
"3","ABDA","Asuransi Bina Dana Arta Tbk.","--U-4105000000G412-----------X","5000","0","26 Apr 2024","0","0","0","5000","0","0","0","0","1141.5","5000","71400","0","0","620806680","620806680","31474899","0","0","0","0","0"
"4","ABMM","ABM Investama Tbk.","--S-1805000000A121------------","3850","0","26 Apr 2024","0","3920","3780","3780","-70","2990500","11403882000","1764","100.8","3790","26700","3780","3100","2753165000","2753165000","568803889","1794600","392900","0","0","0"
"5","ACES","Ace Hardware Indonesia Tbk.","--SO1SK5MD0000E743------------","975","975","26 Apr 2024","970","975","890","910","-65","87109400","79392801500","6747","1109.8","915","450400","910","3030600","17150000000","17150000000","6832560000","53020600","16073500","18719","16941265","2"
"6","ACRO","Samcro Hyosung Adilestari Tbk.","--U-2130000000E413------------","82","0","26 Apr 2024","0","84","79","80","-2","3226300","263801200","437","74.1","80","483400","79","479600","3469138591","731863096","746211711","42500","364400","0","0","0"
"7","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------","123","0","26 Apr 2024","0","123","121","123","0","463300","56399900","110","9.1","123","1880600","121","990800","12675160000","12675160000","1560312196","0","0","0","0","0"
"8","ADCP","Adhi Commuter Properti Tbk.","--U-1135000000H111------------","50","0","26 Apr 2024","0","50","50","50","0","140300","7015000","38","38.5","50","23100300","0","0","22222222200","22222222200","2222222220","0","0","0","0","0"
"9","ADES","Akasha Wira International Tbk.","--U-4135000000D212-----------X","9125","0","26 Apr 2024","0","9125","9100","9100","-25","3700","33675000","18","472.7","9100","4600","9050","400","589896800","589896800","48961434","0","0","0","0","0"
"10","ADHI","Adhi Karya (Persero) Tbk.","--S-180M700000J211------------","260","0","26 Apr 2024","0","266","254","254","-6","11955200","3086880200","1279","218.6","256","400","254","185800","8407608979","8407608979","2998994123","1974700","833200","8000","2064000","1"
"11","ADMF","Adira Dinamika Multi Finance Tbk.","XDU-1105000000G211------------","12425","0","26 Apr 2024","0","12575","11300","12025","-400","394800","4730267500","474","517.2","12075","5000","12025","4200","1000000000","1000000000","79200000","10500","66700","200","1175000","1"
"12","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------","120","0","26 Apr 2024","0","121","118","120","0","1017200","122126900","27","10.7","120","343400","119","100","3889179559","3889179559","520372225","0","45800","0","0","0"
"13","ADMR","Adaro Minerals Indonesia Tbk.","--U-1K70F30000A121------------","1300","0","26 Apr 2024","0","1325","1285","1320","20","6401600","8384410000","2428","1320","1320","341600","1315","127400","40882331500","40882331500","6606584770","565400","1203100","0","0","0"
"14","ADRO","Adaro Energy Indonesia Tbk.","--SO1XDAQ70000A121------------","2620","2620","26 Apr 2024","2620","2670","2600","2600","-20","28055500","73678957000","6445","236.4","2610","2000","2600","1063100","31985962000","31985962000","12810377781","14132600","15758000","6748","14527040","5"
"15","AEGS","Anugerah Spareparts Sejahtera Tbk.","--U-3000000000E111------------","49","0","26 Apr 2024","0","53","48","49","0","25507900","1344146100","385","49","50","1122400","48","463100","1006003883","400003883","0","587700","20100","0","0","0"
"16","AGAR","Asia Sejahtera Mina Tbk.","--U-4130000000D231-----------X","95","0","26 Apr 2024","0","96","95","96","1","116000","11079500","8","87.3","0","0","96","500","1000000000","1000000000","250100000","0","0","0","0","0"
"17","AGII","Samator Indo Gas Tbk.","--U-1135000000B111---L--------","1800","0","26 Apr 2024","0","1800","1770","1795","-5","617800","1105665000","111","163.2","1795","150000","1790","28700","3066660000","3066660000","229999500","6500","5100","0","0","0"
"18","AGRO","Bank Raya Indonesia Tbk.","--U-1805300000G111------------","252","0","26 Apr 2024","0","254","246","246","-6","9473200","2353567800","951","409.9","248","496700","246","480600","24493093216","24493093216","3208595211","98900","25100","12500","3075000","1"
"19","AGRS","Bank IBK Indonesia Tbk.","--U-4105000000G111-----------X","63","0","26 Apr 2024","0","63","62","62","-1","3808700","239600700","59","80.2","63","724000","62","600","37365877065","37365877065","2096225703","0","3300000","0","0","0"
"20","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------","102","0","26 Apr 2024","0","111","102","102","0","10925100","1148175400","1163","489.9","102","1500600","101","1139000","4900000000","4900000000","1273020000","641400","807300","0","0","0"
"21","AIMS","Akbar Indo Makmur Stimec Tbk","--U-4130000000A121----S------X","600","0","26 Apr 2024","0","610","540","610","10","4073900","2232886000","78","488","610","431100","560","1000","220000000","220000000","49852000","0","0","0","0","0"
"22","AISA","FKS Food Sejahtera Tbk.","--U-1135000000D222------------","119","0","26 Apr 2024","0","120","114","119","0","5153200","603456100","521","14.5","119","46600","118","1000","9311800000","9311800000","2460177560","446700","4800","0","0","0"
"23","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-4130000000E512---L-------X","12","0","26 Apr 2024","0","11","11","11","-1","18900","207900","22","16.7","11","2025800","0","0","6449463636","6449463636","3938042496","0","0","0","0","0"
"24","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------","635","0","26 Apr 2024","0","635","600","600","-35","13600","8198000","13","79.1","630","4500","600","10700","612248000","612248000","68449326","0","0","0","0","0"
"25","AKRA","AKR Corporindo Tbk.","--SO1XDXMNS000A112------------","1735","1730","26 Apr 2024","1730","1730","1570","1600","-135","51436000","84374193500","8683","6376","1605","3000","1600","5099400","20073474600","20073474600","7156193695","30844000","22201900","1618600","2599590200","2"
"26","AKSI","Mineral Sumberdaya Mandiri Tbk.","--U-2130000000K211------------","129","0","26 Apr 2024","0","131","128","128","-1","125400","16059900","28","64","128","5500","127","453200","720000000","720000000","57528000","0","0","0","0","0"
"27","ALDO","Alkindo Naratama Tbk.","--U-2130000000B131------------","855","0","26 Apr 2024","0","870","810","840","-15","375100","319657500","73","642.4","850","9800","840","19200","1350356872","1350356872","343530788","24200","700","0","0","0"
"28","ALII","Ancara Logistics Indonesia Tbk.","--U-1100000000A122------------","374","0","26 Apr 2024","0","378","360","372","-2","9470100","3461373000","1128","136.8","372","182500","368","977300","15825800000","13365160000","2448251260","1173000","1405600","0","0","0"
"29","ALKA","Alakasa Industrindo Tbk","--U-2130000000B141------------","370","0","26 Apr 2024","0","370","356","366","-4","21000","7552200","43","61.6","366","1900","358","100","507665055","507665055","77723520","0","0","0","0","0"
"30","ALMI","Alumindo Light Metal Industry Tbk.","--U-4130000000B141-----------X","85","0","26 Apr 2024","0","85","85","85","0","100","8500","1","13.1","84","23300","0","0","3816000000","3816000000","169048800","0","0","0","0","0"
"31","ALTO","Tri Banyan Tirta Tbk.","--U-4100000000D212---L-------X","12","0","26 Apr 2024","0","11","11","11","-1","1225600","13481600","30","5.5","11","4756500","0","0","2191870558","2191870558","676630441","0","0","0","0","0"
"32","AMAG","Asuransi Multi Artha Guna Tbk.","--U-2105000000G412------------","322","0","26 Apr 2024","0","324","300","306","-16","194100","60433200","57","291.4","306","114900","304","21100","5001552516","5001552516","408626841","3300","5100","0","0","0"
"33","AMAN","Makmur Berkah Amanda Tbk.","--M-2130000000H111------------","103","0","26 Apr 2024","0","102","100","101","-2","252000","25437300","80","91.8","101","13500","100","636600","3873500000","3873500000","454748900","0","0","0","0","0"
"34","AMAR","Bank Amar Indonesia Tbk.","--U-2105000000G111------------","250","0","26 Apr 2024","0","254","248","250","0","214900","53736200","35","214.5","252","108500","250","72800","18197283760","18197283760","700595425","60900","0","0","0","0"
"35","AMFG","Asahimas Flat Glass Tbk.","--U-1135000000C121------------","5600","0","26 Apr 2024","0","5575","5400","5500","-100","132300","722422500","59","224.5","5500","7200","5450","200","434000000","434000000","84847000","300","6100","0","0","0"
"36","AMIN","Ateliers Mecaniques D Indonesie Tbk.","--U-2130000000C143------------","150","0","26 Apr 2024","0","153","143","144","-6","22800","3434400","21","112.5","144","18300","143","2900","1080000000","1080000000","187920000","0","0","0","0","0"
"37","AMMN","Amman Mineral Internasional Tbk.","--U-1130000000B142------------","9500","0","26 Apr 2024","0","9725","9350","9475","-25","39340100","373224092500","6874","559","9525","200","9475","18600","72518217656","61314183036","12509392546","15018200","6618500","98","935300","2"
"38","AMMS","Agung Menjangan Mas Tbk.","--U-3000000000D231------------","24","0","26 Apr 2024","0","24","22","24","0","380100","8464300","232","24","24","188700","23","20000","1200051587","1200051587","0","0","0","0","0","0"
"39","AMOR","Ashmore Asset Management Indonesia Tbk.","--U-2105000000G311------------","970","0","26 Apr 2024","0","975","970","970","0","35200","34144500","6","102.1","975","2000","955","10000","2222222400","2222222400","203777794","0","0","0","0","0"
"40","AMRT","Sumber Alfaria Trijaya Tbk.","--SO1U4ACA4000D113------------","2930","2940","26 Apr 2024","2940","2940","2840","2840","-90","18230500","52286362000","3979","7246.9","2840","31200","2830","123900","41524501700","41524501700","18843818871","16568200","13597500","156","444040","4"
"41","ANDI","Andira Agro Tbk.","--U-4130000000D232-----------X","12","0","26 Apr 2024","0","11","11","11","-1","15500","170500","20","27.5","11","12116200","0","0","9350000000","9350000000","3266890000","0","0","0","0","0"
"42","ANJT","Austindo Nusantara Jaya Tbk.","--M-1135000000D232------------","705","0","26 Apr 2024","0","710","695","700","-5","753700","528140000","218","58.3","705","80200","700","101200","3354175000","3354175000","279402778","0","17400","0","0","0"
"43","ANTM","Aneka Tambang Tbk.","--SO1SNPX5H000B146------------","1590","1600","26 Apr 2024","1600","1615","1575","1595","5","45105100","72036823000","11089","1051.6","1600","226000","1595","156500","24030764725","24030764725","8372318430","16913000","17050300","166","265470","2"
"44","APEX","Apexindo Pratama Duta Tbk.","--U-1100000000A131------------","161","0","26 Apr 2024","0","161","155","157","-4","1573900","246452400","359","10.1","158","58100","157","27500","2933628566","2933628566","447706791","76000","0","0","0","0"
"45","APIC","Pacific Strategic Financial Tbk.","--U-2105000000G511------------","1100","0","26 Apr 2024","0","1105","1090","1105","5","276200","304254000","276","1175.3","1105","3500","1090","30300","11766313488","11766313488","7385714976","93700","156600","256300000","275430000000","10"
"46","APII","Arita Prima Indonesia Tbk.","--U-2130000000C143------------","183","0","26 Apr 2024","0","186","182","184","1","9700","1798000","17","83.6","184","46900","182","5100","1075760000","1075760000","273888496","3600","0","0","0","0"
"47","APLI","Asiaplast Industries Tbk.","--U-1130000000B113------------","540","0","26 Apr 2024","0","560","520","560","20","56200","30379500","16","466.7","555","7900","540","5000","1362671400","1362671400","172923001","1900","0","0","0","0"
"48","APLN","Agung Podomoro Land Tbk.","--M-1135000000H111------------","110","0","26 Apr 2024","0","111","108","108","-2","6364800","693036000","373","29.6","109","121100","108","1060200","22699326779","22699326779","3915633869","362800","50000","0","0","0"
"49","ARCI","Archi Indonesia Tbk.","--M-1135000000B143------------","326","0","26 Apr 2024","0","328","306","310","-16","14044700","4410066800","1165","41.3","312","559700","310","277100","24835000000","24835000000","2190447000","2915500","932400","0","0","0"
"50","AREA","Dunia Virtual Online Tbk.","--U-2130000000I121------------","113","0","26 Apr 2024","0","113","106","109","-4","22105600","2415766300","1670","83.2","109","48400","107","52000","2539601000","511600000","510000000","820300","264500","0","0","0"
"51","ARGO","Argo Pantes Tbk","--U-4105000000E413-----------X","950","0","26 Apr 2024","0","0","0","950","0","0","0","0","23.9","960","200","0","0","3174339029","3174339029","296165831","0","0","0","0","0"
"52","ARII","Atlas Resources Tbk.","--U-2130000000A121------------","294","0","26 Apr 2024","0","300","286","294","0","118100","34434800","28","19.6","294","14900","284","2900","3431000000","3431000000","1408425500","48500","41600","0","0","0"
"53","ARKA","Arkha Jayanti Persada Tbk.","--U-4100000000C143-----------X","14","0","26 Apr 2024","0","15","15","15","1","10289900","154348500","223","6.4","15","3229300","14","171500","2000000000","2000000000","906400000","0","0","0","0","0"
"54","ARKO","Arkora Hydro Tbk.","--U-2105000000J411------------","1005","0","26 Apr 2024","0","1005","950","950","-55","2107400","2026849500","623","316.7","960","100","950","87800","2928495000","2928495000","459773715","383500","179300","302500","310062500","1"
"55","ARMY","Armidian Karyatama Tbk.","--U-4100000000H111---L---Y---X","50","0","26 Apr 2024","0","0","0","50","0","0","0","0","16.7","0","0","0","0","9006250000","9006250000","4440981875","0","0","0","0","0"
"56","ARNA","Arwana Citramulia Tbk.","XDS-1135000000C121------------","675","0","26 Apr 2024","0","675","645","650","-25","11161200","7313886500","1274","4417.9","655","46400","650","433900","7341430976","7341430976","2917484670","5236500","5425500","6200","3100000","1"
"57","ARTA","Arthavest Tbk","--U-4135000000E512-----------X","2680","0","26 Apr 2024","0","2680","2670","2670","-10","25200","67285000","3","1548.8","2730","500","2670","600","446674175","446674175","70485185","0","0","0","0","0"
"58","ARTI","Ratu Prabu Energi Tbk","--U-4100000000A132-EDL-------X","3","0","26 Apr 2024","0","3","3","3","0","3204200","9612600","57","0.7","3","3512100","2","17007200","7840000000","7840000000","4368448000","0","0","0","0","0"
"59","ARTO","Bank Jago Tbk.","--UO1HF0500000G111------------","2140","2150","26 Apr 2024","2150","2150","2040","2040","-100","6449100","13385420000","2364","12404.2","2050","90600","2040","352300","13717687500","13717687500","3839580731","2054400","1659500","0","0","0"
"60","ASBI","Asuransi Bintang Tbk.","--U-2100000000G412------------","850","0","26 Apr 2024","0","0","0","850","0","0","0","0","645.3","900","300","810","100","348386472","348386472","50481200","0","0","0","0","0"
"61","ASDM","Asuransi Dayin Mitra Tbk.","--U-1100000000G412------------","454","0","26 Apr 2024","0","464","440","446","-8","103500","46317800","91","263.2","458","700","446","3200","384000000","384000000","66240000","0","3700","0","0","0"
"62","ASGR","Astra Graphia Tbk.","--S-1135000000C224------------","815","0","26 Apr 2024","0","820","805","805","-10","449100","362118000","275","166.9","810","85000","805","2100","1348780500","1348780500","297540978","12200","0","0","0","0"
"63","ASHA","Cilacap Samudera Fishing Industry Tbk.","--U-2130000000D231------------","50","0","26 Apr 2024","0","50","50","50","0","1000","50000","4","50","50","29943700","0","0","5000000000","5000000000","1250000000","0","0","0","0","0"
"64","ASII","Astra International Tbk.","--SO1XDAQ76000C311------------","4950","4980","26 Apr 2024","4980","4980","4880","4880","-70","70877700","347896670000","17704","3489.8","4890","20200","4880","398100","40483553140","40483553140","18254034111","42127100","34596200","2789773","13653515240","7"
"65","ASJT","Asuransi Jasa Tania Tbk.","--U-1100000000G412------------","114","0","26 Apr 2024","0","117","115","116","2","44000","5097600","9","101.2","116","55600","113","60000","1400000000","1400000000","316540000","0","0","0","0","0"
"66","ASLC","Autopedia Sukses Lestari Tbk.","--S-2135000000E745------------","100","0","26 Apr 2024","0","102","97","97","-3","5638800","557867000","475","37.9","98","105500","97","799500","12746354780","12746354780","2559468040","707700","202900","0","0","0"
"67","ASLI","Asri Karya Lestari Tbk.","--U-1130000000J211------------","50","0","26 Apr 2024","0","50","50","50","0","1539200","76960000","759","50","50","6448300","0","0","6250000000","1250000000","1255000000","0","0","0","0","0"
"68","ASMI","Asuransi Maximus Graha Persada Tbk.","--U-4100000000G412-----------X","14","0","26 Apr 2024","0","14","13","13","-1","169900","2362700","33","24.1","14","528200","13","4300","8958380460","8958380460","5968073062","0","0","277300","2218400","1"
"69","ASPI","Andalan Sakti Primaindo Tbk.","--U-2130000000H111------------","171","0","26 Apr 2024","0","178","166","178","7","6543200","1122770000","1020","169.5","178","252300","177","367500","681823317","681823317","332866143","202500","0","0","0","0"
"70","ASRI","Alam Sutera Realty Tbk.","--S-1175001000H111------------","135","0","26 Apr 2024","0","136","130","130","-5","12421200","1627676900","860","123.8","131","10000","130","1296500","19649411888","19649411888","8761672761","2454000","5000","0","0","0"
"71","ASRM","Asuransi Ramayana Tbk.","CDU-4100000000G412-----------X","1550","0","26 Apr 2024","0","1600","1595","1595","45","2500","3988000","8","808.1","1595","200","1550","200","304283840","304283840","21178155","0","0","0","0","0"
"72","ASSA","Adi Sarana Armada Tbk.","--S-1805941000K132------------","740","0","26 Apr 2024","0","750","730","745","5","1652800","1223332000","420","206.9","745","129200","740","89400","3691137517","3691137517","1656951631","52100","950400","0","0","0"
"73","ATAP","Trimitra Prawara Goldland Tbk.","--U-2130000000H111------------","50","0","26 Apr 2024","0","50","50","50","0","193600","9680000","7","50","50","1797900","0","0","1250000000","1250000000","200000000","0","0","0","0","0"
"74","ATIC","Anabatic Technologies Tbk.","--U-1100000000I121------------","378","0","26 Apr 2024","0","396","370","380","2","39900","15114000","12","54.3","394","1000","380","5800","2315361355","2315361355","333180499","0","0","0","0","0"
"75","ATLA","Atlantis Subsea Indonesia Tbk.","--U-2130000000A132------------","276","0","26 Apr 2024","0","314","270","290","14","187427200","55850416400","28643","290","290","311500","288","362500","6199500000","2000000000","2000000000","195500","352900","0","0","0"
"76","AUTO","Astra Otoparts Tbk.","--M-18G5MHG000E111------------","2040","0","26 Apr 2024","0","2070","2000","2040","0","5801500","11770536000","2289","1845","2050","146400","2040","150400","4819733000","4819733000","962500680","1275800","424900","0","0","0"
"77","AVIA","Avia Avian Tbk.","XDM-1135802000B113------------","540","0","26 Apr 2024","0","545","510","510","-30","19878600","10447711000","1231","54.8","515","57000","510","1113900","61953555600","61953555600","10061257429","13866900","2123400","0","0","0"
"78","AWAN","Era Digital Media Tbk.","--U-2130000000I111------------","322","0","26 Apr 2024","0","336","322","326","4","421500","139076000","44","326","334","9100","326","207300","3435000000","3435000000","350370000","15500","0","0","0","0"
"79","AXIO","Tera Data Indonusa Tbk.","--S-1135000000I221------------","198","0","26 Apr 2024","0","200","195","198","0","1432700","282745500","174","141.4","198","28900","197","10100","5840126500","5840126500","1220002426","0","59400","0","0","0"
"80","AYAM","Janu Putra Sejahtera Tbk.","--U-2130000000D231------------","110","0","26 Apr 2024","0","111","97","102","-8","64233700","6771759500","5864","102","102","6300","101","11100","4000000000","800000000","768000000","7265000","152400","0","0","0"
"81","AYLS","Agro Yasa Lestari Tbk.","--U-2130000000B121------------","50","0","26 Apr 2024","0","50","50","50","0","19500","975000","1","50","50","4562400","0","0","853423236","853423236","258672583","0","0","0","0","0"
"82","BABP","Bank MNC Internasional Tbk.","--U-2105000000G111------------","50","0","26 Apr 2024","0","50","50","50","0","349700","17485000","42","59.4","50","20691900","0","0","44014333126","44014333126","11250063547","0","0","0","0","0"
"83","BABY","Multitrend Indo Tbk.","--U-1130000000E741------------","113","0","26 Apr 2024","0","115","104","105","-8","728900","78318100","146","39.5","105","16200","104","1000","2668586400","1334000000","176393561","100000","27000","0","0","0"
"84","BACA","Bank Capital Indonesia Tbk.","--S-2105000000G111------------","130","0","26 Apr 2024","0","131","130","130","0","4417400","574280800","63","95.8","131","4790700","130","18768100","19753494636","19753494636","4997634143","0","7800","700000","91700000","1"
"85","BAIK","Bersama Mencapai Puncak Tbk.","--U-2130000000E515------------","80","0","26 Apr 2024","0","82","79","81","1","2242700","179885000","263","29.1","81","382800","79","229400","1125000000","225000000","213862500","100","0","0","0","0"
"86","BAJA","Saranacentral Bajatama Tbk.","--U-2100000000B144------------","100","0","26 Apr 2024","0","105","98","99","-1","675800","67673700","161","39.6","100","100","99","120000","1800000000","1800000000","399960000","19500","6800","0","0","0"
"87","BALI","Bali Towerindo Sentra Tbk.","--U-1135000000J321------------","1180","0","26 Apr 2024","0","1180","1150","1160","-20","31400","36436000","14","1450","1160","37700","1150","100","3934592500","3934592500","1143392581","0","0","0","0","0"
"88","BANK","Bank Aladin Syariah Tbk.","--U-11E5000000G111------------","970","0","26 Apr 2024","0","975","930","965","-5","583900","557984000","246","936.9","965","28400","950","4100","14621864340","14621864340","6138258650","83600","296400","0","0","0"
"89","BAPA","Bekasi Asri Pemula Tbk.","--U-1130000000H111------------","50","0","26 Apr 2024","0","50","50","50","0","700","35000","3","33.3","50","1769400","0","0","661784520","661784520","211175440","0","0","0","0","0"
"90","BAPI","Bhakti Agung Propertindo Tbk.","--U-4130000000H111-----------X","50","0","26 Apr 2024","0","0","0","50","0","0","0","0","33.3","0","0","0","0","5591980103","1677762103","1677594031","0","0","0","0","0"
"91","BATA","Sepatu Bata Tbk.","--U-1130000000E412---L--------","96","0","26 Apr 2024","0","97","93","96","0","115900","11071300","16","1245.1","96","13000","93","22000","1300000000","1300000000","220350000","60000","0","0","0","0"
"92","BAUT","Mitra Angkasa Sejahtera Tbk.","--U-4130000000E743-----------X","14","0","26 Apr 2024","0","15","15","15","1","19189100","287836500","183","15","0","0","15","16903300","4800135591","4800135591","1447240699","3698900","0","0","0","0"
"93","BAYU","Bayu Buana Tbk","--U-2130000000E513------------","1310","0","26 Apr 2024","0","1310","1215","1270","-40","74700","96477500","55","156.7","1275","500","1260","1000","353220780","353220780","182897720","43700","0","0","0","0"
"94","BBCA","Bank Central Asia Tbk.","--SO1UQNCNU000G111------------","9775","9700","26 Apr 2024","9700","9825","9625","9625","-150","100932900","978638855000","19775","27481.2","9675","7200","9625","723300","122042299500","122042299500","26172758467","79550900","76046100","4753241","46304539325","156"
"95","BBHI","Allo Bank Indonesia Tbk.","--U-1155000000G111------------","1000","0","26 Apr 2024","0","1005","990","1005","5","425800","424039000","248","3870.6","1005","321800","995","2000","21512953877","21512953877","3136588675","100","3000","0","0","0"
"96","BBKP","Bank KB Bukopin Tbk.","--U-1105000000G111---L--------","65","0","26 Apr 2024","0","68","64","66","1","54714500","3606442000","4564","27.7","66","2136300","65","269100","185819884852","185819884852","28746336187","7983900","3817500","419300","47800200","1"
"97","BBLD","Buana Finance Tbk.","--U-2105000000G211------------","575","0","26 Apr 2024","0","585","570","570","-5","197000","113335500","22","226.5","580","50400","570","206900","1645796054","1645796054","448479425","0","10400","0","0","0"
"98","BBMD","Bank Mestika Dharma Tbk.","--U-1105000000G111------------","1900","0","26 Apr 2024","0","0","0","1900","0","0","0","0","137.7","2000","400","1905","100","4049189100","4049189100","362807343","0","0","0","0","0"
"99","BBNI","Bank Negara Indonesia (Persero) Tbk.","--SO1UQSPBU000G111------------","5300","5200","26 Apr 2024","5200","5275","5100","5150","-150","80482400","417163397500","15270","49.4","5150","766300","5125","480000","36924339786","36924339786","14710656971","42039200","54875800","29900372","156531965250","7"
"100","BBRI","Bank Rakyat Indonesia (Persero) Tbk.","--SO1UQSPNU000G111------------","5150","5050","26 Apr 2024","5100","5100","4830","4830","-320","782589900","3853426100000","192580","5664.9","4830","86600","4820","4605300","150043411587","150043411587","43442488439","554687100","142310000","33249323","163800960909","38"
"101","BBRM","Pelayaran Nasional Bina Buana Raya Tbk.","--U-1130000000A122------------","69","0","26 Apr 2024","0","70","68","69","0","2702600","187859900","74","22.2","69","2692000","68","922000","8479490328","8479490328","758066435","0","0","0","0","0"
"102","BBSI","Krom Bank Indonesia Tbk.","--U-2105000000G111------------","4550","0","26 Apr 2024","0","4550","4550","4550","0","500","2275000","2","1035.5","4690","6500","4550","500","3637976068","3637976068","885119577","0","0","0","0","0"
"103","BBSS","Bumi Benowo Sukses Sejahtera Tbk.","--U-2100000000H111------------","134","0","26 Apr 2024","0","138","131","135","1","85500","11248900","21","112.5","135","79100","133","29000","4800016020","4800016020","503041679","100","0","0","0","0"
"104","BBTN","Bank Tabungan Negara (Persero) Tbk.","--SO1HCEL6U000G111------------","1350","1360","26 Apr 2024","1365","1365","1280","1290","-60","85302300","111182417500","9454","174.5","1290","327800","1285","336700","13894099969","13894099969","5557639988","28337200","22911200","0","0","0"
"105","BBYB","Bank Neo Commerce Tbk.","--U-1105000000G111------------","248","0","26 Apr 2024","0","252","240","240","-8","14904400","3643893200","1604","294.4","240","430300","238","1584400","11918427523","11918427523","6843561084","1197500","1358400","0","0","0"
"106","BCAP","MNC Kapital Indonesia Tbk.","--U-1105000000G511------------","50","0","26 Apr 2024","0","50","50","50","0","4800","240000","7","141.8","50","64729400","0","0","42618850927","42618850927","12440442586","0","0","45382200","2654858700","2"
"107","BCIC","Bank JTrust Indonesia Tbk.","--U-2105000000G111---L--------","99","0","26 Apr 2024","0","101","99","100","1","137200","13589900","22","7.5","100","81500","99","169400","17926071041","17926071041","760065412","0","0","0","0","0"
"108","BCIP","Bumi Citra Permai Tbk.","--U-2130000000H111------------","50","0","26 Apr 2024","0","50","50","50","0","40400","2020000","4","45.5","50","3908200","0","0","1429915525","1429915525","789885336","0","0","0","0","0"
"109","BDKR","Berdikari Pondasi Perkasa Tbk.","--M-2135000000J211------------","540","0","26 Apr 2024","0","540","525","530","-10","19772200","10589794000","9012","265","530","500","525","489900","4725101522","4725101522","723885553","1493200","2500","0","0","0"
"110","BDMN","Bank Danamon Indonesia Tbk.","XDM-1155005000G111------------","2740","0","26 Apr 2024","0","2780","2700","2700","-40","3192900","8717718000","913","1.5","2710","10500","2700","23700","9675817341","9675817341","818574147","853700","544000","0","0","0"
"111","BEBS","Berkah Beton Sadaya Tbk.","--U-2135000000B121------------","50","0","26 Apr 2024","0","50","50","50","0","100","5000","1","250.3","50","13187381900","0","0","45000000000","45000000000","25659000000","0","0","0","0","0"
"112","BEEF","Estika Tata Tiara Tbk.","--U-2135000000D222------------","224","0","26 Apr 2024","0","224","214","216","-8","323300","70546600","90","63.5","218","50000","216","100","7031371419","7031357919","1425962124","0","10700","0","0","0"
"113","BEER","Jobubu Jarum Minahasa Tbk.","--U-2105000000D211------------","276","0","26 Apr 2024","0","276","274","274","-2","54900","15046600","20","124.5","274","800","272","4200","4000000000","4000000000","900000000","0","0","0","0","0"
"114","BEKS","Bank Pembangunan Daerah Banten Tbk.","--U-4105000000G111-----------X","36","0","26 Apr 2024","0","38","35","38","2","213863900","7717787700","1172","73.4","38","25505800","37","2363300","51351733883","51351733883","17403102613","49000","2000","0","0","0"
"115","BELI","Global Digital Niaga Tbk.","--U-5130000000I111----------I-","474","0","26 Apr 2024","0","474","470","472","-2","3262300","1540351400","101","104.9","472","73800","470","14288700","123210496616","22595658376","23194234757","1525300","0","0","0","0"
"116","BELL","Trisula Textile Industries Tbk.","CDU-2130000000E413------------","60","0","26 Apr 2024","0","61","59","61","1","223700","13400100","47","203.3","61","324300","59","55100","7250000000","7250000000","1155650000","0","0","0","0","0"
"117","BESS","Batulicin Nusantara Maritim Tbk.","--U-2130000000A122------------","166","0","26 Apr 2024","0","171","160","165","-1","2169200","358022600","129","157.1","165","4000","163","900","3440455528","3440455528","540839609","0","0","0","0","0"
"118","BEST","Bekasi Fajar Industrial Estate Tbk.","--S-1135000000H111------------","117","0","26 Apr 2024","0","117","113","115","-2","10656400","1221316700","446","67.6","115","996700","114","501000","9647311150","9647311150","4031611330","905000","1700000","0","0","0"
"119","BFIN","BFI Finance  Indonesia Tbk.","--S-181C9N0000G211------------","995","0","26 Apr 2024","0","1080","965","1000","5","122114500","123932723500","13030","5124.5","1000","300","990","1500","15967115620","15967115620","6936115025","34899600","90582300","5909200","5960521200","5"
"120","BGTG","Bank Ganesha Tbk.","--U-2105000000G111------------","68","0","26 Apr 2024","0","68","66","67","-1","5504100","363678500","167","68","67","1463200","66","726400","23731287132","23731287132","8329681783","0","0","0","0","0"
"121","BHAT","Bhakti Multi Artha Tbk.","--U-2105000000G413------------","480","0","26 Apr 2024","0","486","426","438","-42","291040300","136085222400","6488","425.2","440","119900","438","2000","5000000000","5000000000","1626500000","16920000","1718000","0","0","0"
